"Time","Z"
1773210712000,2531780
1773210712010,2505017
1773210712020,2474949
1773210712030,2443243
1773210712040,2416592
1773210712050,2385658
1773210712060,2346675
1773210712070,2309715
1773210712080,2274329
1773210712090,2237000
1773210712100,2190218
1773210712110,2143306
1773210712120,2091690
1773210712130,2038200
1773210712140,1985119
1773210712150,1936470
1773210712160,1891068
1773210712170,1834829
1773210712180,1770884
1773210712190,1708373
1773210712200,1642632
1773210712210,1581000
1773210712220,1518838
1773210712230,1452026
1773210712240,1383585
1773210712250,1314524
1773210712260,1244988
1773210712270,1174667
1773210712280,1102472
1773210712290,1026248
1773210712300,948859
1773210712310,871834
1773210712320,793617
1773210712330,715719
1773210712340,640288
1773210712350,565539
1773210712360,487899
1773210712370,405614
1773210712380,322335
1773210712390,237538
1773210712400,151073
1773210712410,68892
1773210712420,-11297
1773210712430,-90869
1773210712440,-170719
1773210712450,-252487
1773210712460,-336518
1773210712470,-418677
1773210712480,-497939
1773210712490,-577957
1773210712500,-660707
1773210712510,-743138
1773210712520,-823507
1773210712530,-901934
1773210712540,-982179
1773210712550,-1061496
1773210712560,-1139836
1773210712570,-1215573
1773210712580,-1289013
1773210712590,-1361113
1773210712600,-1432520
1773210712610,-1504366
1773210712620,-1574579
1773210712630,-1639466
1773210712640,-1704963
1773210712650,-1769933
1773210712660,-1834026
1773210712670,-1898002
1773210712680,-1954642
1773210712690,-2004199
1773210712700,-2051991
1773210712710,-2101652
1773210712720,-2152082
1773210712730,-2197361
1773210712740,-2240007
1773210712750,-2280472
1773210712760,-2319859
1773210712770,-2356721
1773210712780,-2390726
1773210712790,-2417783
1773210712800,-2441758
1773210712810,-2467554
1773210712820,-2493625
1773210712830,-2517596
1773210712840,-2536565
1773210712850,-2549463
1773210712860,-2558377
1773210712870,-2564189
1773210712880,-2572338
1773210712890,-2580984
1773210712900,-2587193
1773210712910,-2588233
1773210712920,-2586446
1773210712930,-2580953
1773210712940,-2569236
1773210712950,-2555431
1773210712960,-2543409
1773210712970,-2531029
1773210712980,-2519256
1773210712990,-2503252
1773210713000,-2480434
1773210713010,-2453859
1773210713020,-2426444
1773210713030,-2401737
1773210713040,-2373186
1773210713050,-2339016
1773210713060,-2306727
1773210713070,-2274230
1773210713080,-2239485
1773210713090,-2198547
1773210713100,-2143315
1773210713110,-2098425
1773210713120,-2059186
1773210713130,-2009777
1773210713140,-1955831
1773210713150,-1900984
1773210713160,-1851458
1773210713170,-1805613
1773210713180,-1751429
1773210713190,-1691429
1773210713200,-1627803
1773210713210,-1561766
1773210713220,-1498471
1773210713230,-1432891
1773210713240,-1365476
1773210713250,-1299706
1773210713260,-1233306
1773210713270,-1162548
1773210713280,-1089498
1773210713290,-1011399
1773210713300,-933510
1773210713310,-858730
1773210713320,-786588
1773210713330,-713715
1773210713340,-637668
1773210713350,-559194
1773210713360,-479186
1773210713370,-393724
1773210713380,-308963
1773210713390,-226908
1773210713400,-149007
1773210713410,-69715
1773210713420,10969
1773210713430,94081
1773210713440,177184
1773210713450,260945
1773210713460,344990
1773210713470,426839
1773210713480,506291
1773210713490,588395
1773210713500,671116
1773210713510,753138
1773210713520,831740
1773210713530,911569
1773210713540,995620
1773210713550,1079726
1773210713560,1158499
1773210713570,1233183
1773210713580,1304089
1773210713590,1376721
1773210713600,1449129
1773210713610,1522543
1773210713620,1594247
1773210713630,1660508
1773210713640,1725881
1773210713650,1792195
1773210713660,1858067
1773210713670,1922692
1773210713680,1981446
1773210713690,2036397
1773210713700,2090046
1773210713710,2142216
1773210713720,2190177
1773210713730,2237200
1773210713740,2281654
1773210713750,2327240
1773210713760,2370477
1773210713770,2408750
1773210713780,2440196
1773210713790,2468923
1773210713800,2494291
1773210713810,2521661
1773210713820,2549056
1773210713830,2572804
1773210713840,2590157
1773210713850,2604619
1773210713860,2615279
1773210713870,2624344
1773210713880,2632542
1773210713890,2640920
1773210713900,2646308
1773210713910,2648211
1773210713920,2644716
1773210713930,2639319
1773210713940,2628020
1773210713950,2615554
1773210713960,2603678
1773210713970,2591409
1773210713980,2576423
1773210713990,2559153
1773210714000,2535529
1773210714010,2510637
1773210714020,2482017
1773210714030,2452314
1773210714040,2423988
1773210714050,2389402
1773210714060,2348032
1773210714070,2313706
1773210714080,2278702
1773210714090,2232856
1773210714100,2170537
1773210714110,2130458
1773210714120,2108979
1773210714130,2071641
1773210714140,2013735
1773210714150,1952708
1773210714160,1895189
1773210714170,1835267
1773210714180,1771862
1773210714190,1712702
1773210714200,1649545
1773210714210,1587021
1773210714220,1522459
1773210714230,1454147
1773210714240,1384387
1773210714250,1318149
1773210714260,1249330
1773210714270,1180340
1773210714280,1107707
1773210714290,1029756
1773210714300,949697
1773210714310,872769
1773210714320,795579
1773210714330,718517
1773210714340,642122
1773210714350,568476
1773210714360,488956
1773210714370,405967
1773210714380,322056
1773210714390,240127
1773210714400,156546
1773210714410,74988
1773210714420,-4670
1773210714430,-83959
1773210714440,-168131
1773210714450,-253604
1773210714460,-339008
1773210714470,-418479
1773210714480,-495879
1773210714490,-574363
1773210714500,-657523
1773210714510,-739917
1773210714520,-821349
1773210714530,-899931
1773210714540,-981550
1773210714550,-1060677
1773210714560,-1138072
1773210714570,-1211498
1773210714580,-1283433
1773210714590,-1354818
1773210714600,-1428746
1773210714610,-1502154
1773210714620,-1574717
1773210714630,-1640249
1773210714640,-1706362
1773210714650,-1767839
1773210714660,-1829025
1773210714670,-1891172
1773210714680,-1949388
1773210714690,-2001794
1773210714700,-2052302
1773210714710,-2100814
1773210714720,-2149737
1773210714730,-2193711
1773210714740,-2237590
1773210714750,-2278924
1773210714760,-2318276
1773210714770,-2351706
1773210714780,-2384301
1773210714790,-2412845
1773210714800,-2440578
1773210714810,-2466860
1773210714820,-2491244
1773210714830,-2511139
1773210714840,-2532005
1773210714850,-2545244
1773210714860,-2556565
1773210714870,-2565151
1773210714880,-2574526
1773210714890,-2581748
1773210714900,-2585869
1773210714910,-2585856
1773210714920,-2585263
1773210714930,-2580584
1773210714940,-2572381
1773210714950,-2557677
1773210714960,-2543005
1773210714970,-2528553
1773210714980,-2515395
1773210714990,-2499942
1773210715000,-2480918
1773210715010,-2457613
1773210715020,-2430958
1773210715030,-2404386
1773210715040,-2374703
1773210715050,-2337156
1773210715060,-2305233
1773210715070,-2275491
1773210715080,-2243081
1773210715090,-2205820
1773210715100,-2164199
1773210715110,-2108328
1773210715120,-2047497
1773210715130,-1991114
1773210715140,-1944349
1773210715150,-1900597
1773210715160,-1857912
1773210715170,-1811840
1773210715180,-1755354
1773210715190,-1690732
1773210715200,-1626283
1773210715210,-1561674
1773210715220,-1501639
1773210715230,-1437413
1773210715240,-1371616
1773210715250,-1304979
1773210715260,-1237448
1773210715270,-1164587
1773210715280,-1089376
1773210715290,-1011652
1773210715300,-936633
1773210715310,-861749
1773210715320,-788817
1773210715330,-711537
1773210715340,-635020
1773210715350,-557301
1773210715360,-478544
1773210715370,-395401
1773210715380,-312468
1773210715390,-229450
1773210715400,-150629
1773210715410,-70992
1773210715420,7292
1773210715430,90140
1773210715440,173255
1773210715450,258561
1773210715460,342736
1773210715470,425480
1773210715480,505716
1773210715490,589653
1773210715500,672731
1773210715510,753858
1773210715520,831183
1773210715530,910631
1773210715540,992163
1773210715550,1075312
1773210715560,1153858
1773210715570,1231732
1773210715580,1304874
1773210715590,1376136
1773210715600,1445392
1773210715610,1516766
1773210715620,1589776
1773210715630,1660217
1773210715640,1725922
1773210715650,1792594
1773210715660,1854828
1773210715670,1918991
1773210715680,1977347
1773210715690,2032075
1773210715700,2085776
1773210715710,2139457
1773210715720,2189327
1773210715730,2237455
1773210715740,2281263
1773210715750,2326663
1773210715760,2368063
1773210715770,2404724
1773210715780,2436403
1773210715790,2467403
1773210715800,2495137
1773210715810,2523520
1773210715820,2549351
1773210715830,2570966
1773210715840,2586885
1773210715850,2601727
1773210715860,2612992
1773210715870,2622443
1773210715880,2630627
1773210715890,2640557
1773210715900,2644482
1773210715910,2646176
1773210715920,2641977
1773210715930,2638311
1773210715940,2629185
1773210715950,2618912
1773210715960,2605087
1773210715970,2590406
1773210715980,2574266
1773210715990,2558796
1773210716000,2536425
1773210716010,2511995
1773210716020,2483865
1773210716030,2455718
1773210716040,2426628
1773210716050,2392855
1773210716060,2351038
1773210716070,2316099
1773210716080,2281354
1773210716090,2243079
1773210716100,2202567
1773210716110,2149742
1773210716120,2092940
1773210716130,2042692
1773210716140,1992217
1773210716150,1946996
1773210716160,1902741
1773210716170,1846365
1773210716180,1778863
1773210716190,1715093
1773210716200,1649005
1773210716210,1586850
1773210716220,1522502
1773210716230,1457571
1773210716240,1388664
1773210716250,1321593
1773210716260,1251693
1773210716270,1181659
1773210716280,1106267
1773210716290,1027641
1773210716300,949033
1773210716310,876838
1773210716320,801789
1773210716330,724426
1773210716340,647167
1773210716350,571483
1773210716360,489914
1773210716370,407195
1773210716380,321634
1773210716390,238557
1773210716400,155770
1773210716410,76857
1773210716420,-3848
1773210716430,-86013
1773210716440,-169599
1773210716450,-252188
1773210716460,-336032
1773210716470,-415466
1773210716480,-497870
1773210716490,-579290
1773210716500,-661595
1773210716510,-741108
1773210716520,-821723
1773210716530,-899531
1773210716540,-979361
1773210716550,-1057015
1773210716560,-1135938
1773210716570,-1210595
1773210716580,-1284948
1773210716590,-1355488
1773210716600,-1428209
1773210716610,-1500227
1773210716620,-1572116
1773210716630,-1637135
1773210716640,-1702008
1773210716650,-1765342
1773210716660,-1828957
1773210716670,-1891864
1773210716680,-1951410
1773210716690,-2000458
1773210716700,-2048513
1773210716710,-2096213
1773210716720,-2145773
1773210716730,-2191167
1773210716740,-2235223
1773210716750,-2277107
1773210716760,-2318587
1773210716770,-2353189
1773210716780,-2388236
1773210716790,-2416358
1773210716800,-2441771
1773210716810,-2463244
1773210716820,-2486233
1773210716830,-2508221
1773210716840,-2530805
1773210716850,-2547568
1773210716860,-2558673
1773210716870,-2562932
1773210716880,-2569542
1773210716890,-2575057
1773210716900,-2582051
1773210716910,-2584992
1773210716920,-2584699
1773210716930,-2580984
1773210716940,-2572596
1773210716950,-2558832
1773210716960,-2544877
1773210716970,-2529297
1773210716980,-2517285
1773210716990,-2500397
1773210717000,-2481907
1773210717010,-2458869
1773210717020,-2433025
1773210717030,-2405328
1773210717040,-2375339
1773210717050,-2338471
1773210717060,-2306267
1773210717070,-2273088
1773210717080,-2240365
1773210717090,-2207336
1773210717100,-2169778
1773210717110,-2112744
1773210717120,-2048180
1773210717130,-1990011
1773210717140,-1945152
1773210717150,-1900193
1773210717160,-1858798
1773210717170,-1815319
1773210717180,-1760566
1773210717190,-1695250
1773210717200,-1630694
1773210717210,-1564580
1773210717220,-1503253
1773210717230,-1437909
1773210717240,-1370820
1773210717250,-1302803
1773210717260,-1236574
1773210717270,-1167632
1773210717280,-1095643
1773210717290,-1016220
1773210717300,-938902
1773210717310,-861868
1773210717320,-788039
1773210717330,-712041
1773210717340,-635915
1773210717350,-556897
1773210717360,-479153
1773210717370,-396749
1773210717380,-315047
1773210717390,-231748
1773210717400,-153175
1773210717410,-72885
1773210717420,7240
1773210717430,91586
1773210717440,176217
1773210717450,260938
1773210717460,340710
1773210717470,422203
1773210717480,502891
1773210717490,588270
1773210717500,671552
1773210717510,753922
1773210717520,831539
1773210717530,909980
1773210717540,990903
1773210717550,1074467
1773210717560,1152437
1773210717570,1228774
1773210717580,1301485
1773210717590,1376032
1773210717600,1447483
1773210717610,1518876
1773210717620,1589837
1773210717630,1658491
1773210717640,1723190
1773210717650,1790446
1773210717660,1852044
1773210717670,1913581
1773210717680,1971954
1773210717690,2030619
