"Time","Z"
1773211775000,-2448013
1773211775010,-3041581
1773211775020,-3596218
1773211775030,-4083492
1773211775040,-4505311
1773211775050,-4861039
1773211775060,-5144572
1773211775070,-5343190
1773211775080,-5462783
1773211775090,-5491372
1773211775100,-5438763
1773211775110,-5297485
1773211775120,-5076954
1773211775130,-4771357
1773211775140,-4390564
1773211775150,-3933420
1773211775160,-3415771
1773211775170,-2840404
1773211775180,-2227218
1773211775190,-1574439
1773211775200,-899106
1773211775210,-205730
1773211775220,487568
1773211775230,1176379
1773211775240,1843820
1773211775250,2481985
1773211775260,3076403
1773211775270,3631518
1773211775280,4114096
1773211775290,4527452
1773211775300,4878845
1773211775310,5165208
1773211775320,5365747
1773211775330,5484123
1773211775340,5512901
1773211775350,5462174
1773211775360,5323915
1773211775370,5107610
1773211775380,4804710
1773211775390,4424291
1773211775400,3967230
1773211775410,3450609
1773211775420,2878111
1773211775430,2265829
1773211775440,1613547
1773211775450,938653
1773211775460,246117
1773211775470,-446322
1773211775480,-1137340
1773211775490,-1806661
1773211775500,-2447882
1773211775510,-3042729
1773211775520,-3596586
1773211775530,-4080807
1773211775540,-4499615
1773211775550,-4854152
1773211775560,-5140767
1773211775570,-5343346
1773211775580,-5462362
1773211775590,-5490181
1773211775600,-5436800
1773211775610,-5295831
1773211775620,-5077716
1773211775630,-4773716
1773211775640,-4393458
1773211775650,-3935744
1773211775660,-3415573
1773211775670,-2836805
1773211775680,-2222213
1773211775690,-1571424
1773211775700,-897772
1773211775710,-207573
1773211775720,484508
1773211775730,1176684
1773211775740,1846429
1773211775750,2483797
1773211775760,3077190
1773211775770,3630729
1773211775780,4112848
1773211775790,4527546
1773211775800,4877609
1773211775810,5162403
1773211775820,5363737
1773211775830,5482599
1773211775840,5512128
1773211775850,5460636
1773211775860,5321601
1773211775870,5105284
1773211775880,4804221
1773211775890,4424934
1773211775900,3967586
1773211775910,3451677
1773211775920,2878908
1773211775930,2266409
1773211775940,1613460
1773211775950,938625
1773211775960,246939
1773211775970,-446165
1773211775980,-1136483
1773211775990,-1805340
1773211776000,-2447309
1773211776010,-3042222
1773211776020,-3594125
1773211776030,-4077538
1773211776040,-4499042
1773211776050,-4854544
1773211776060,-5139730
1773211776070,-5342231
1773211776080,-5461374
1773211776090,-5489782
1773211776100,-5437169
1773211776110,-5296692
1773211776120,-5077298
1773211776130,-4771461
1773211776140,-4390392
1773211776150,-3932894
1773211776160,-3415112
1773211776170,-2838584
1773211776180,-2222375
1773211776190,-1570618
1773211776200,-899028
1773211776210,-209377
1773211776220,483276
1773211776230,1174598
1773211776240,1844747
1773211776250,2484557
1773211776260,3079202
1773211776270,3631254
1773211776280,4113233
1773211776290,4526061
1773211776300,4876125
1773211776310,5161329
1773211776320,5362215
1773211776330,5482124
1773211776340,5513072
1773211776350,5461064
1773211776360,5321434
1773211776370,5104423
1773211776380,4803118
1773211776390,4423947
1773211776400,3967557
1773211776410,3450257
1773211776420,2877345
1773211776430,2266552
1773211776440,1614326
1773211776450,938085
1773211776460,245257
1773211776470,-447586
1773211776480,-1137392
1773211776490,-1805264
1773211776500,-2444708
1773211776510,-3039343
1773211776520,-3593002
1773211776530,-4080377
1773211776540,-4501326
1773211776550,-4854455
1773211776560,-5137874
1773211776570,-5340347
1773211776580,-5459534
1773211776590,-5487989
1773211776600,-5434795
1773211776610,-5294817
1773211776620,-5076952
1773211776630,-4772560
1773211776640,-4390032
1773211776650,-3931950
1773211776660,-3412124
1773211776670,-2835425
1773211776680,-2222507
1773211776690,-1572980
1773211776700,-899214
1773211776710,-207746
1773211776720,485962
1773211776730,1177350
1773211776740,1846592
1773211776750,2482958
1773211776760,3075612
1773211776770,3628449
1773211776780,4112272
1773211776790,4526837
1773211776800,4876186
1773211776810,5158751
1773211776820,5360293
1773211776830,5480663
1773211776840,5511700
1773211776850,5460435
1773211776860,5322306
1773211776870,5105414
1773211776880,4803785
1773211776890,4424058
1773211776900,3965821
1773211776910,3448329
1773211776920,2876242
1773211776930,2263235
1773211776940,1610635
1773211776950,937741
1773211776960,247582
1773211776970,-446240
1773211776980,-1136722
1773211776990,-1805093
1773211777000,-2445194
1773211777010,-3039728
1773211777020,-3591639
1773211777030,-4077039
1773211777040,-4497282
1773211777050,-4852405
1773211777060,-5136846
1773211777070,-5339630
1773211777080,-5459264
1773211777090,-5488187
1773211777100,-5435301
1773211777110,-5294846
1773211777120,-5076374
1773211777130,-4773270
1773211777140,-4391192
1773211777150,-3931596
1773211777160,-3409880
1773211777170,-2833645
1773211777180,-2221565
1773211777190,-1571924
1773211777200,-898543
1773211777210,-207451
1773211777220,485836
1773211777230,1175439
1773211777240,1844855
1773211777250,2482517
1773211777260,3075452
1773211777270,3627443
1773211777280,4110615
1773211777290,4523687
1773211777300,4874740
1773211777310,5160048
1773211777320,5361900
1773211777330,5480365
1773211777340,5510705
1773211777350,5459168
1773211777360,5320501
1773211777370,5103322
1773211777380,4802239
1773211777390,4422390
1773211777400,3966665
1773211777410,3449345
1773211777420,2875710
1773211777430,2262658
1773211777440,1611751
1773211777450,938119
1773211777460,248247
1773211777470,-444739
1773211777480,-1134593
1773211777490,-1802917
1773211777500,-2443837
1773211777510,-3039267
1773211777520,-3591422
1773211777530,-4078883
1773211777540,-4499697
1773211777550,-4853591
1773211777560,-5136063
1773211777570,-5337335
1773211777580,-5456954
1773211777590,-5487457
1773211777600,-5434140
1773211777610,-5293936
1773211777620,-5075303
1773211777630,-4772505
1773211777640,-4390701
1773211777650,-3932212
1773211777660,-3411927
1773211777670,-2835374
1773211777680,-2220274
1773211777690,-1568915
1773211777700,-895053
1773211777710,-205106
1773211777720,486246
1773211777730,1173962
1773211777740,1842281
1773211777750,2480066
1773211777760,3075622
1773211777770,3628975
1773211777780,4112180
1773211777790,4525215
1773211777800,4874079
1773211777810,5156633
1773211777820,5358874
1773211777830,5476648
1773211777840,5507916
1773211777850,5458201
1773211777860,5322316
1773211777870,5106871
1773211777880,4806430
1773211777890,4425531
1773211777900,3967386
1773211777910,3449084
1773211777920,2875692
1773211777930,2261650
1773211777940,1611077
1773211777950,935875
1773211777960,244897
1773211777970,-447992
1773211777980,-1137244
1773211777990,-1804951
1773211778000,-2444103
1773211778010,-3038743
1773211778020,-3590359
1773211778030,-4076760
1773211778040,-4497273
1773211778050,-4852968
1773211778060,-5136102
1773211778070,-5337213
1773211778080,-5456077
1773211778090,-5486633
1773211778100,-5433963
1773211778110,-5294337
1773211778120,-5075077
1773211778130,-4771613
1773211778140,-4389234
1773211778150,-3930786
1773211778160,-3410970
1773211778170,-2835475
1773211778180,-2219829
1773211778190,-1568786
1773211778200,-894928
1773211778210,-204608
1773211778220,488241
1773211778230,1176095
1773211778240,1844064
1773211778250,2479833
1773211778260,3072776
1773211778270,3625056
1773211778280,4109798
1773211778290,4524684
1773211778300,4875737
1773211778310,5158085
1773211778320,5358221
