Direction,Folder,CSV_File,Sensor_Key,Channel,Nominal_Frequency_Hz,Duration_s,Samples,Mean,Std,RMS_centered,Peak,Valley,Peak_to_Peak,FFT_Amplitude_at_Nominal,FFT_Phase_deg_at_Nominal,FFT_Sensitivity_at_Nominal,FFT_Stats_CSV,FFT_Report_TXT,FFT_Report_PNG
horizontal,1.55 0.1hz,cc_8d_a2_e8_d7_84-data-2026-03-15 20_58_36.csv,d7_84,Z,0.1,89.01,8901,14943.019098977644,56524.40687190365,56524.40687190365,104490.0,-75429.0,179919.0,79610.52009936699,5.16627352078743,15922.104019873397,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_20_58_36_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_20_58_36_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_20_58_36_fft_chart.png
horizontal,2.01 0.2hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_02_00.csv,d7_84,Z,0.2,160.01,16001,15791.984063496031,337380.4905359452,337380.4905359452,514715.0,-473850.0,988565.0,477132.2753558679,160.52400982493648,95426.45507117358,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_02_00_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_02_00_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_02_00_fft_chart.png
horizontal,2.07 0.5hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_03_51.csv,d7_84,Z,0.5,201.01,20101,9989.03298343366,1656170.9517687722,1656170.9517687722,2362539.0,-2317852.0,4680391.0,1993023.5120222087,39.23934661673724,398604.7024044417,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_03_51_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_03_51_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_03_51_fft_chart.png
horizontal,2.09 0.8hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_05_50.csv,d7_84,Z,0.8,87.97,8797,9625.005001705127,2519072.375114217,2519072.375114217,3593585.0,-3539110.0,7132695.0,1933082.9974575697,177.82329085455498,386616.5994915139,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_05_50_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_05_50_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_05_50_fft_chart.png
horizontal,2.11 1hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_08_20.csv,d7_84,Z,1.0,120.01,12001,16112.91559036747,2857903.0296739675,2857903.0296739675,4048953.0,-4008283.0,8057236.0,4040778.700947231,8.99492413380213,808155.7401894463,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_08_20_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_08_20_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_08_20_fft_chart.png
horizontal,2.14 2hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_10_07.csv,d7_84,Z,2.0,98.01,9801,15836.17579838792,3505854.9738872093,3505854.9738872093,4970127.0,-4935738.0,9905865.0,4956308.538147046,88.1599295378549,991261.7076294093,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_10_07_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_10_07_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_10_07_fft_chart.png
horizontal,2.16 4hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_11_43.csv,d7_84,Z,4.0,26.01,2601,14129.209919261823,3703848.964574316,3703848.964574316,5238285.0,-5197816.0,10436101.0,5232160.123601238,-140.09938098398976,1046432.0247202476,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_11_43_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_11_43_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_11_43_fft_chart.png
horizontal,2.17 8hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_13_32.csv,d7_84,Z,8.0,21.01,2101,16849.44217039505,3670531.6901010307,3670531.6901010307,5163387.0,-5170066.0,10333453.0,5170345.571557576,-50.68961223032205,1034069.1143115151,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_13_32_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_13_32_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_13_32_fft_chart.png
horizontal,2.19 16hz,cc_8d_a2_e8_d7_84-data-2026-03-15 21_14_58.csv,d7_84,Z,16.0,57.01,5701,15426.161375197335,3308818.433066017,3308818.433066017,4719478.0,-4755611.0,9475089.0,4605522.268894061,-89.42910056335765,921104.4537788123,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_14_58_fft_stats.csv,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_14_58_fft_report.txt,d7_84_cc_8d_a2_e8_d7_84-data-2026-03-15_21_14_58_fft_chart.png
