Direction,Folder,CSV_File,Sensor_Key,Channel,Nominal_Frequency_Hz,Duration_s,Samples,Mean,Std,RMS_centered,Peak,Valley,Peak_to_Peak,FFT_Amplitude_at_Nominal,FFT_Phase_deg_at_Nominal,FFT_Sensitivity_at_Nominal,FFT_Stats_CSV,FFT_Report_TXT,FFT_Report_PNG
horizontal,1.55 0.1hz,cc_8d_a2_e8_dd_94-data-2026-03-15 20_58_47.csv,dd_94,Z,0.1,89.01,8901,16252.493652398607,53165.564314099356,53165.564314099356,104801.0,-68376.0,173177.0,74803.80145155817,-170.66646859540418,14960.760290311635,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_20_58_47_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_20_58_47_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_20_58_47_fft_chart.png
horizontal,2.01 0.2hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_02_08.csv,dd_94,Z,0.2,160.01,16001,15438.031748015748,325613.1445222233,325613.1445222233,488591.0,-464748.0,953339.0,460491.26578344824,-17.953965380458655,92098.25315668965,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_02_08_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_02_08_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_02_08_fft_chart.png
horizontal,2.07 0.5hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_04_00.csv,dd_94,Z,0.5,201.01,20101,21327.611810357692,1668967.3114213527,1668967.3114213527,2371770.0,-2339364.0,4711134.0,2008134.8974077858,-141.07505714937375,401626.97948155715,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_04_00_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_04_00_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_04_00_fft_chart.png
horizontal,2.09 0.8hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_06_03.csv,dd_94,Z,0.8,87.99,8799,29034.1195590408,2584796.0684390487,2584796.0684390487,3664381.0,-3632072.0,7296453.0,1951570.0698852711,-1.0035568711339693,390314.0139770542,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_06_03_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_06_03_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_06_03_fft_chart.png
horizontal,2.11 1hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_08_29.csv,dd_94,Z,1.0,120.01,12001,15131.848429297559,2943690.207264204,2943690.207264204,4162336.0,-4130276.0,8292612.0,4162173.1351300026,-167.52808919875986,832434.6270260005,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_08_29_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_08_29_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_08_29_fft_chart.png
horizontal,2.14 2hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_10_17.csv,dd_94,Z,2.0,98.01,9801,15458.120906029997,3644268.9275953188,3644268.9275953188,5158474.0,-5129458.0,10287932.0,5151950.194070254,-87.1173816618348,1030390.0388140508,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_10_17_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_10_17_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_10_17_fft_chart.png
horizontal,2.16 4hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_11_49.csv,dd_94,Z,4.0,26.01,2601,16639.58208381392,3862247.8659489336,3862247.8659489336,5459301.0,-5425251.0,10884552.0,5456675.209246318,62.43617512208932,1091335.0418492635,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_11_49_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_11_49_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_11_49_fft_chart.png
horizontal,2.17 8hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_13_38.csv,dd_94,Z,8.0,21.01,2101,13030.640171346977,3834589.040837974,3834589.040837974,5429048.0,-5369804.0,10798852.0,5399650.282344328,173.74740523944587,1079930.0564688656,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_13_38_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_13_38_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_13_38_fft_chart.png
horizontal,2.19 16hz,cc_8d_a2_e8_dd_94-data-2026-03-15 21_15_04.csv,dd_94,Z,16.0,57.0,5700,15447.403333333334,3459570.4101393637,3459570.4101393637,4965046.0,-4942838.0,9907884.0,4892401.890024466,150.50826868701017,978480.3780048933,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_15_04_fft_stats.csv,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_15_04_fft_report.txt,dd_94_cc_8d_a2_e8_dd_94-data-2026-03-15_21_15_04_fft_chart.png
