"Time","Z"
1773209668000,-41209
1773209668010,611403
1773209668020,1257392
1773209668030,1883137
1773209668040,2478660
1773209668050,3035111
1773209668060,3545388
1773209668070,3991099
1773209668080,4369667
1773209668090,4678178
1773209668100,4916106
1773209668110,5078332
1773209668120,5161759
1773209668130,5166877
1773209668140,5089523
1773209668150,4926824
1773209668160,4697246
1773209668170,4395781
1773209668180,4031885
1773209668190,3605226
1773209668200,3122158
1773209668210,2583316
1773209668220,1998368
1773209668230,1382314
1773209668240,741534
1773209668250,86214
1773209668260,-569918
1773209668270,-1222966
1773209668280,-1855912
1773209668290,-2454862
1773209668300,-3008465
1773209668310,-3514638
1773209668320,-3957539
1773209668330,-4334722
1773209668340,-4643800
1773209668350,-4882913
1773209668360,-5044704
1773209668370,-5129914
1773209668380,-5136804
1773209668390,-5064788
1773209668400,-4916247
1773209668410,-4690451
1773209668420,-4385673
1773209668430,-4011854
1773209668440,-3573725
1773209668450,-3082362
1773209668460,-2537816
1773209668470,-1958141
1773209668480,-1340052
1773209668490,-695436
1773209668500,-42070
1773209668510,611079
1773209668520,1256112
1773209668530,1881447
1773209668540,2478307
1773209668550,3034345
1773209668560,3545042
1773209668570,3991149
1773209668580,4368780
1773209668590,4677799
1773209668600,4914490
1773209668610,5074672
1773209668620,5159255
1773209668630,5164845
1773209668640,5088563
1773209668650,4926537
1773209668660,4697413
1773209668670,4396106
1773209668680,4031685
1773209668690,3606594
1773209668700,3123777
1773209668710,2583928
1773209668720,1998577
1773209668730,1380812
1773209668740,742190
1773209668750,88593
1773209668760,-569613
1773209668770,-1222389
1773209668780,-1855288
1773209668790,-2455906
1773209668800,-3009748
1773209668810,-3515085
1773209668820,-3957594
1773209668830,-4335841
1773209668840,-4644970
1773209668850,-4882937
1773209668860,-5043870
1773209668870,-5127485
1773209668880,-5135294
1773209668890,-5064788
1773209668900,-4915936
1773209668910,-4690986
1773209668920,-4385760
1773209668930,-4011146
1773209668940,-3573482
1773209668950,-3082167
1773209668960,-2536386
1773209668970,-1955800
1773209668980,-1338639
1773209668990,-692752
1773209669000,-39767
1773209669010,610610
1773209669020,1256520
1773209669030,1880672
1773209669040,2475226
1773209669050,3031626
1773209669060,3542540
1773209669070,3989224
1773209669080,4367279
1773209669090,4675800
1773209669100,4913318
1773209669110,5073774
1773209669120,5158029
1773209669130,5163050
1773209669140,5086306
1773209669150,4925265
1773209669160,4697390
1773209669170,4397603
1773209669180,4034153
1773209669190,3608255
1773209669200,3124860
1773209669210,2583056
1773209669220,1997331
1773209669230,1381021
1773209669240,741062
1773209669250,87668
1773209669260,-567720
1773209669270,-1220076
1773209669280,-1853265
1773209669290,-2454306
1773209669300,-3008164
1773209669310,-3513459
1773209669320,-3956042
1773209669330,-4334913
1773209669340,-4645856
1773209669350,-4884238
1773209669360,-5044624
1773209669370,-5128298
1773209669380,-5133970
1773209669390,-5062331
1773209669400,-4913994
1773209669410,-4688983
1773209669420,-4384005
1773209669430,-4009821
1773209669440,-3572092
1773209669450,-3081462
1773209669460,-2537158
1773209669470,-1957425
1773209669480,-1339629
1773209669490,-694798
1773209669500,-41625
1773209669510,609811
1773209669520,1256068
1773209669530,1881453
1773209669540,2476668
1773209669550,3032613
1773209669560,3543012
1773209669570,3987964
1773209669580,4364959
1773209669590,4672988
1773209669600,4911210
1773209669610,5073289
1773209669620,5159270
1773209669630,5166176
1773209669640,5088905
1773209669650,4925688
1773209669660,4696071
1773209669670,4394412
1773209669680,4031131
1773209669690,3605065
1773209669700,3122207
1773209669710,2582689
1773209669720,1997869
1773209669730,1380155
1773209669740,740900
1773209669750,88902
1773209669760,-567545
1773209669770,-1220436
1773209669780,-1852496
1773209669790,-2454914
1773209669800,-3009454
1773209669810,-3513389
1773209669820,-3956391
1773209669830,-4334796
1773209669840,-4643257
1773209669850,-4881567
1773209669860,-5042689
1773209669870,-5126252
1773209669880,-5133077
1773209669890,-5062941
1773209669900,-4915135
1773209669910,-4690742
1773209669920,-4384917
1773209669930,-4009569
1773209669940,-3571879
1773209669950,-3080986
1773209669960,-2535376
1773209669970,-1955520
1773209669980,-1338122
1773209669990,-692980
1773209670000,-39634
1773209670010,611352
1773209670020,1255758
1773209670030,1879597
1773209670040,2474082
1773209670050,3029751
1773209670060,3541445
1773209670070,3988210
1773209670080,4367590
1773209670090,4676408
1773209670100,4912823
1773209670110,5073272
1773209670120,5157855
1773209670130,5162856
1773209670140,5085131
1773209670150,4922037
1773209670160,4694131
1773209670170,4393619
1773209670180,4030196
1773209670190,3605598
1773209670200,3123822
1773209670210,2583956
1773209670220,1998439
1773209670230,1380934
1773209670240,742017
1773209670250,88969
1773209670260,-566768
1773209670270,-1219059
1773209670280,-1851864
1773209670290,-2453133
1773209670300,-3007658
1773209670310,-3512168
1773209670320,-3954360
1773209670330,-4332907
1773209670340,-4642739
1773209670350,-4881724
1773209670360,-5042148
1773209670370,-5126168
1773209670380,-5132572
1773209670390,-5061215
1773209670400,-4913635
1773209670410,-4689232
1773209670420,-4385076
1773209670430,-4011612
1773209670440,-3572817
1773209670450,-3081233
1773209670460,-2535092
1773209670470,-1954642
1773209670480,-1337960
1773209670490,-693988
1773209670500,-41387
1773209670510,608768
1773209670520,1254043
1773209670530,1880389
1773209670540,2476398
1773209670550,3031154
1773209670560,3542157
1773209670570,3988759
1773209670580,4365750
1773209670590,4674052
1773209670600,4911699
1773209670610,5072284
1773209670620,5157017
1773209670630,5161558
1773209670640,5084818
1773209670650,4923162
1773209670660,4695760
1773209670670,4396332
1773209670680,4032658
1773209670690,3606187
1773209670700,3122133
1773209670710,2580699
1773209670720,1996216
1773209670730,1378468
1773209670740,740352
1773209670750,89502
1773209670760,-567764
1773209670770,-1220246
1773209670780,-1851910
1773209670790,-2453831
1773209670800,-3006737
1773209670810,-3509190
1773209670820,-3951792
1773209670830,-4331648
1773209670840,-4641687
1773209670850,-4880920
1773209670860,-5041894
1773209670870,-5125561
1773209670880,-5133195
1773209670890,-5062237
1773209670900,-4913296
1773209670910,-4689751
1773209670920,-4384895
1773209670930,-4010293
1773209670940,-3572153
1773209670950,-3080617
1773209670960,-2534492
1773209670970,-1953642
1773209670980,-1336991
1773209670990,-693062
1773209671000,-39930
1773209671010,608638
1773209671020,1253062
1773209671030,1878724
1773209671040,2473844
1773209671050,3030142
1773209671060,3540704
1773209671070,3986213
1773209671080,4364451
1773209671090,4673354
1773209671100,4912226
1773209671110,5073020
1773209671120,5157258
1773209671130,5162470
1773209671140,5084642
1773209671150,4922248
1773209671160,4693947
1773209671170,4393802
1773209671180,4031447
1773209671190,3605217
1773209671200,3122923
1773209671210,2582889
1773209671220,1998276
1773209671230,1381523
1773209671240,741013
1773209671250,88863
1773209671260,-566392
1773209671270,-1219997
1773209671280,-1851379
1773209671290,-2452201
1773209671300,-3006479
1773209671310,-3509558
1773209671320,-3952647
1773209671330,-4332984
1773209671340,-4643517
1773209671350,-4882148
1773209671360,-5043194
1773209671370,-5127771
1773209671380,-5133954
1773209671390,-5062813
1773209671400,-4913793
1773209671410,-4687801
1773209671420,-4382163
1773209671430,-4007958
1773209671440,-3570479
1773209671450,-3080169
1773209671460,-2535459
1773209671470,-1955553
1773209671480,-1337509
1773209671490,-693424
1773209671500,-39036
1773209671510,612044
1773209671520,1254736
1773209671530,1879980
1773209671540,2475703
1773209671550,3028451
1773209671560,3537383
1773209671570,3983089
1773209671580,4361893
1773209671590,4671924
1773209671600,4911356
1773209671610,5073988
1773209671620,5159347
1773209671630,5164154
1773209671640,5085635
1773209671650,4921664
1773209671660,4693437
1773209671670,4392308
1773209671680,4028783
1773209671690,3604034
1773209671700,3121073
1773209671710,2581867
1773209671720,1998856
1773209671730,1381279
1773209671740,742066
1773209671750,89883
1773209671760,-566440
1773209671770,-1219243
1773209671780,-1851420
1773209671790,-2452726
1773209671800,-3006689
1773209671810,-3509675
1773209671820,-3951778
1773209671830,-4330951
1773209671840,-4640244
1773209671850,-4879581
1773209671860,-5040748
1773209671870,-5124216
1773209671880,-5132020
1773209671890,-5062369
1773209671900,-4914416
1773209671910,-4690211
1773209671920,-4384779
1773209671930,-4009939
1773209671940,-3571293
1773209671950,-3080677
1773209671960,-2534925
1773209671970,-1954825
1773209671980,-1338155
1773209671990,-693736
1773209672000,-39807
1773209672010,612071
1773209672020,1256531
1773209672030,1879951
1773209672040,2474297
1773209672050,3027739
1773209672060,3536532
1773209672070,3982904
1773209672080,4362374
1773209672090,4672597
1773209672100,4910970
1773209672110,5071991
1773209672120,5157310
1773209672130,5162220
1773209672140,5085527
1773209672150,4922537
1773209672160,4693734
1773209672170,4393336
1773209672180,4029146
1773209672190,3602790
1773209672200,3120742
1773209672210,2580627
1773209672220,1997244
1773209672230,1381491
1773209672240,741703
1773209672250,88938
1773209672260,-566684
1773209672270,-1220101
1773209672280,-1852171
1773209672290,-2451329
1773209672300,-3003922
1773209672310,-3507596
1773209672320,-3949664
1773209672330,-4329679
1773209672340,-4640884
1773209672350,-4880133
1773209672360,-5041209
1773209672370,-5125194
1773209672380,-5132139
1773209672390,-5061497
1773209672400,-4912946
1773209672410,-4688623
1773209672420,-4384186
1773209672430,-4009914
1773209672440,-3571010
1773209672450,-3079582
1773209672460,-2534580
1773209672470,-1953662
1773209672480,-1336377
1773209672490,-693987
1773209672500,-40670
1773209672510,610135
1773209672520,1254321
1773209672530,1879691
1773209672540,2475317
1773209672550,3028053
1773209672560,3536404
1773209672570,3983020
1773209672580,4361698
1773209672590,4671691
1773209672600,4911779
1773209672610,5073038
1773209672620,5157621
1773209672630,5161959
1773209672640,5083074
1773209672650,4919137
1773209672660,4689972
1773209672670,4389968
1773209672680,4027848
1773209672690,3602802
1773209672700,3121291
1773209672710,2581844
1773209672720,1998587
1773209672730,1382966
1773209672740,743722
1773209672750,90816
1773209672760,-564824
1773209672770,-1218844
1773209672780,-1852359
1773209672790,-2452626
1773209672800,-3004738
1773209672810,-3506772
1773209672820,-3948505
1773209672830,-4328148
1773209672840,-4638573
1773209672850,-4878316
1773209672860,-5040378
