"Time","Z"
1773211578000,-4264357
1773211578010,-3971246
1773211578020,-3637948
1773211578030,-3271443
1773211578040,-2872021
1773211578050,-2449859
1773211578060,-2006702
1773211578070,-1549944
1773211578080,-1073199
1773211578090,-589390
1773211578100,-95840
1773211578110,397338
1773211578120,890683
1773211578130,1372656
1773211578140,1846091
1773211578150,2304172
1773211578160,2744546
1773211578170,3154290
1773211578180,3535448
1773211578190,3878552
1773211578200,4184406
1773211578210,4457690
1773211578220,4696545
1773211578230,4886860
1773211578240,5035651
1773211578250,5136523
1773211578260,5195071
1773211578270,5207515
1773211578280,5181572
1773211578290,5107339
1773211578300,4992486
1773211578310,4829739
1773211578320,4629028
1773211578330,4384168
1773211578340,4105397
1773211578350,3785912
1773211578360,3432598
1773211578370,3044328
1773211578380,2634903
1773211578390,2199195
1773211578400,1747286
1773211578410,1274211
1773211578420,793945
1773211578430,302427
1773211578440,-189422
1773211578450,-684493
1773211578460,-1171387
1773211578470,-1653132
1773211578480,-2120921
1773211578490,-2570713
1773211578500,-2989701
1773211578510,-3378827
1773211578520,-3732953
1773211578530,-4054003
1773211578540,-4338242
1773211578550,-4591493
1773211578560,-4799439
1773211578570,-4966704
1773211578580,-5083640
1773211578590,-5156400
1773211578600,-5181977
1773211578610,-5170221
1773211578620,-5112924
1773211578630,-5013367
1773211578640,-4863864
1773211578650,-4673455
1773211578660,-4440145
1773211578670,-4171885
1773211578680,-3863165
1773211578690,-3518411
1773211578700,-3138236
1773211578710,-2734125
1773211578720,-2303331
1773211578730,-1857104
1773211578740,-1390536
1773211578750,-912245
1773211578760,-422657
1773211578770,68148
1773211578780,563952
1773211578790,1051627
1773211578800,1532024
1773211578810,1997708
1773211578820,2452260
1773211578830,2881737
1773211578840,3284463
1773211578850,3651429
1773211578860,3991119
1773211578870,4287859
1773211578880,4539219
1773211578890,4749276
1773211578900,4927925
1773211578910,5064292
1773211578920,5160283
1773211578930,5204720
1773211578940,5208785
1773211578950,5163603
1773211578960,5075265
1773211578970,4939041
1773211578980,4767083
1773211578990,4549084
1773211579000,4295642
1773211579010,4002206
1773211579020,3673436
1773211579030,3304784
1773211579040,2911435
1773211579050,2490120
1773211579060,2051885
1773211579070,1590734
1773211579080,1116786
1773211579090,629510
1773211579100,139731
1773211579110,-355254
1773211579120,-843799
1773211579130,-1333862
1773211579140,-1811388
1773211579150,-2276260
1773211579160,-2710300
1773211579170,-3121225
1773211579180,-3496100
1773211579190,-3844011
1773211579200,-4152252
1773211579210,-4429581
1773211579220,-4662759
1773211579230,-4858684
1773211579240,-5006937
1773211579250,-5111852
1773211579260,-5167936
1773211579270,-5185657
1773211579280,-5155839
1773211579290,-5083331
1773211579300,-4964212
1773211579310,-4806405
1773211579320,-4600214
1773211579330,-4356041
1773211579340,-4069194
1773211579350,-3751805
1773211579360,-3395075
1773211579370,-3009692
1773211579380,-2592066
1773211579390,-2154517
1773211579400,-1699258
1773211579410,-1232996
1773211579420,-747857
1773211579430,-259880
1773211579440,233222
1773211579450,722601
1773211579460,1211383
1773211579470,1687489
1773211579480,2153424
1773211579490,2596610
1773211579500,3019597
1773211579510,3409204
1773211579520,3769734
1773211579530,4096382
1773211579540,4380320
1773211579550,4608841
1773211579560,4807834
1773211579570,4971722
1773211579580,5100571
1773211579590,5179310
1773211579600,5212792
1773211579610,5197959
1773211579620,5140827
1773211579630,5033204
1773211579640,4887294
1773211579650,4696351
1773211579660,4469198
1773211579670,4198561
1773211579680,3895590
1773211579690,3551840
1773211579700,3179206
1773211579710,2774294
1773211579720,2346989
1773211579730,1896433
1773211579740,1434340
1773211579750,953992
1773211579760,467959
1773211579770,-27781
1773211579780,-518213
1773211579790,-1009381
1773211579800,-1491554
1773211579810,-1966726
1773211579820,-2418795
1773211579830,-2850447
1773211579840,-3248552
1773211579850,-3618102
1773211579860,-3952855
1773211579870,-4253127
1773211579880,-4505822
1773211579890,-4724731
1773211579900,-4904590
1773211579910,-5044662
1773211579920,-5134537
1773211579930,-5180847
1773211579940,-5177649
1773211579950,-5136010
1773211579960,-5047855
1773211579970,-4918469
1773211579980,-4739807
1773211579990,-4522965
1773211580000,-4262020
1773211580010,-3970173
1773211580020,-3636984
1773211580030,-3270606
1773211580040,-2869255
1773211580050,-2447787
1773211580060,-2002533
1773211580070,-1545109
1773211580080,-1070448
1773211580090,-589002
1773211580100,-97052
1773211580110,394189
1773211580120,889596
1773211580130,1371636
1773211580140,1845592
1773211580150,2301876
1773211580160,2740438
1773211580170,3147914
1773211580180,3529213
1773211580190,3878581
1773211580200,4196719
1773211580210,4458680
1773211580220,4679264
1773211580230,4865392
1773211580240,5022137
1773211580250,5130541
1773211580260,5194963
1773211580270,5208099
1773211580280,5182350
1773211580290,5107226
1773211580300,4989479
1773211580310,4826374
1773211580320,4626940
1773211580330,4384023
1773211580340,4107275
1773211580350,3785965
1773211580360,3432041
1773211580370,3041956
1773211580380,2631674
1773211580390,2196109
1773211580400,1746441
1773211580410,1274919
1773211580420,794061
1773211580430,301801
1773211580440,-188332
1773211580450,-680666
1773211580460,-1166628
1773211580470,-1652504
1773211580480,-2119054
1773211580490,-2567741
1773211580500,-2985039
1773211580510,-3374807
1773211580520,-3731265
1773211580530,-4061904
1773211580540,-4343434
1773211580550,-4581461
1773211580560,-4781503
1773211580570,-4951054
1773211580580,-5073785
1773211580590,-5155213
1773211580600,-5183189
1773211580610,-5170174
1773211580620,-5110037
1773211580630,-5010274
1773211580640,-4862146
1773211580650,-4674563
1773211580660,-4440030
1773211580670,-4170676
1773211580680,-3859764
1773211580690,-3515862
1773211580700,-3136197
1773211580710,-2733609
1773211580720,-2301874
1773211580730,-1854789
1773211580740,-1390005
1773211580750,-915104
1773211580760,-424621
1773211580770,68076
1773211580780,565580
1773211580790,1051463
1773211580800,1531538
1773211580810,1995576
1773211580820,2449252
1773211580830,2878451
1773211580840,3281606
1773211580850,3647856
1773211580860,3987425
1773211580870,4282471
1773211580880,4534698
1773211580890,4742795
1773211580900,4923016
1773211580910,5060158
1773211580920,5158148
1773211580930,5205574
1773211580940,5209436
1773211580950,5161664
1773211580960,5072379
1773211580970,4935695
1773211580980,4764651
1773211580990,4547564
1773211581000,4296008
1773211581010,4002505
1773211581020,3673574
1773211581030,3303637
1773211581040,2908709
1773211581050,2484525
1773211581060,2047250
1773211581070,1589597
1773211581080,1119244
1773211581090,632257
1773211581100,140922
1773211581110,-356480
1773211581120,-845776
1773211581130,-1334014
1773211581140,-1808888
1773211581150,-2273786
1773211581160,-2707249
1773211581170,-3117080
1773211581180,-3491112
1773211581190,-3842966
1773211581200,-4158364
1773211581210,-4427131
1773211581220,-4648893
1773211581230,-4844284
1773211581240,-4996571
1773211581250,-5108763
1773211581260,-5167557
1773211581270,-5184455
1773211581280,-5152795
1773211581290,-5083361
1773211581300,-4963699
1773211581310,-4803133
1773211581320,-4597025
1773211581330,-4354222
1773211581340,-4069148
1773211581350,-3752411
1773211581360,-3393797
1773211581370,-3007904
1773211581380,-2589828
1773211581390,-2153944
1773211581400,-1696687
1773211581410,-1228374
1773211581420,-745726
1773211581430,-260703
1773211581440,233584
1773211581450,723899
1773211581460,1212025
1773211581470,1684841
1773211581480,2150995
1773211581490,2593547
1773211581500,3016083
1773211581510,3403809
1773211581520,3765135
1773211581530,4087116
1773211581540,4370094
1773211581550,4605766
1773211581560,4808754
1773211581570,4972345
1773211581580,5098724
1773211581590,5173615
1773211581600,5206272
1773211581610,5194225
1773211581620,5139941
1773211581630,5032894
1773211581640,4885875
1773211581650,4694125
1773211581660,4468048
1773211581670,4199830
1773211581680,3898234
1773211581690,3551967
1773211581700,3175740
1773211581710,2769473
1773211581720,2344264
1773211581730,1896506
1773211581740,1435946
1773211581750,956054
1773211581760,471787
1773211581770,-25111
1773211581780,-518790
1773211581790,-1011947
1773211581800,-1492645
1773211581810,-1965524
1773211581820,-2416609
1773211581830,-2847336
1773211581840,-3245631
1773211581850,-3614861
